entry_id,title,candidate_path,final_path,replacement_decision,audit_status,old_size_bytes,new_size_bytes,status
A-11,略称表記,assets/ponchi/experiments/batches/lightweight-regen-003/A-11_base_1254x627.png,assets/ponchi/final/A-11.webp,replace_candidate_visual_review,image_pass_color_review,22782,86042,promoted
J-75,Tensor コア,assets/ponchi/experiments/batches/lightweight-regen-003/J-75_base_1254x627.png,assets/ponchi/final/J-75.webp,replace_candidate_visual_review,image_pass_color_review,22704,124516,promoted
J-76,CPU,assets/ponchi/experiments/batches/lightweight-regen-003/J-76_base_1254x627.png,assets/ponchi/final/J-76.webp,needs_color_fix_before_replace,image_pass_color_fail,22892,92682,promoted
A-5,読者レベルの凡例,assets/ponchi/experiments/batches/lightweight-regen-003/A-5_base_1254x627.png,assets/ponchi/final/A-5.webp,replace_candidate_visual_review,image_pass_color_review,23030,95792,promoted
I-1,MCP,assets/ponchi/experiments/batches/lightweight-regen-003/I-1_base_1254x627.png,assets/ponchi/final/I-1.webp,replace_candidate_visual_review,image_pass_color_review,23682,102940,promoted
J-74,RTX シリーズ,assets/ponchi/experiments/batches/lightweight-regen-003/J-74_base_1254x627.png,assets/ponchi/final/J-74.webp,replace_candidate_visual_review,image_pass_color_review,23796,112392,promoted
J-18,MoE,assets/ponchi/experiments/batches/lightweight-regen-003/J-18_base_1254x627.png,assets/ponchi/final/J-18.webp,replace_candidate_visual_review,image_pass_color_review,23896,84982,promoted
J-71,RAM,assets/ponchi/experiments/batches/lightweight-regen-003/J-71_base_1254x627.png,assets/ponchi/final/J-71.webp,replace_candidate_visual_review,image_pass_color_review,24048,100796,promoted
A-3,図鑑の歩き方,assets/ponchi/experiments/batches/lightweight-regen-003/A-3_base_1254x627.png,assets/ponchi/final/A-3.webp,replace_candidate_visual_review,image_pass_color_review,24646,102804,promoted
I-20,Playwright MCP,assets/ponchi/experiments/batches/lightweight-regen-003/I-20_base_1254x627.png,assets/ponchi/final/I-20.webp,replace_candidate_visual_review,image_pass_color_review,24640,89274,promoted
A-6,評価日・時変情報の見方,assets/ponchi/experiments/batches/lightweight-regen-003/A-6_base_1254x627.png,assets/ponchi/final/A-6.webp,needs_color_fix_before_replace,image_pass_color_fail,25028,106698,promoted
I-12,Git MCP,assets/ponchi/experiments/batches/lightweight-regen-003/I-12_base_1254x627.png,assets/ponchi/final/I-12.webp,replace_candidate_visual_review,image_pass_color_review,25142,89340,promoted
H-62,Anthropic 創業の流れ,assets/ponchi/experiments/batches/lightweight-regen-003/H-62_base_1254x627.png,assets/ponchi/final/H-62.webp,replace_candidate_visual_review,image_pass_color_review,25340,117042,promoted
