entry_id,batch_id,candidate_webp,candidate_png,final_webp,final_png,size,old_final_webp_bytes,new_final_webp_bytes,old_final_png_bytes,new_final_png_bytes
F-81,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-81_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-81_candidate.png,assets/ponchi/final/F-81.webp,assets/ponchi/final/F-81.png,1254x627,42358,68046,697833,67535
F-82,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-82_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-82_candidate.png,assets/ponchi/final/F-82.webp,assets/ponchi/final/F-82.png,1254x627,46402,69584,726117,75001
F-83,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-83_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-83_candidate.png,assets/ponchi/final/F-83.webp,assets/ponchi/final/F-83.png,1254x627,41134,78208,690178,91052
F-84,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-84_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-84_candidate.png,assets/ponchi/final/F-84.webp,assets/ponchi/final/F-84.png,1254x627,45644,65424,729769,91713
F-85,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-85_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-85_candidate.png,assets/ponchi/final/F-85.webp,assets/ponchi/final/F-85.png,1254x627,48176,66842,712118,68032
F-86,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-86_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-86_candidate.png,assets/ponchi/final/F-86.webp,assets/ponchi/final/F-86.png,1254x627,48814,65240,723577,75224
F-87,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-87_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-87_candidate.png,assets/ponchi/final/F-87.webp,assets/ponchi/final/F-87.png,1254x627,39588,67070,687250,75900
F-90,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-90_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-90_candidate.png,assets/ponchi/final/F-90.webp,assets/ponchi/final/F-90.png,1254x627,44466,79170,700100,84660
F-91,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-91_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-91_candidate.png,assets/ponchi/final/F-91.webp,assets/ponchi/final/F-91.png,1254x627,38752,73300,680241,77341
F-123,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-123_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-123_candidate.png,assets/ponchi/final/F-123.webp,assets/ponchi/final/F-123.png,1254x627,41672,56782,687844,57829
F-130,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-130_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-130_candidate.png,assets/ponchi/final/F-130.webp,assets/ponchi/final/F-130.png,1254x627,40676,88624,703156,86091
F-140,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-140_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-140_candidate.png,assets/ponchi/final/F-140.webp,assets/ponchi/final/F-140.png,1254x627,44910,49726,702821,55646
F-141,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-141_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-141_candidate.png,assets/ponchi/final/F-141.webp,assets/ponchi/final/F-141.png,1254x627,42276,68508,662518,76159
F-150,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-150_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-150_candidate.png,assets/ponchi/final/F-150.webp,assets/ponchi/final/F-150.png,1254x627,38080,62002,667532,59360
F-151,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-151_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-151_candidate.png,assets/ponchi/final/F-151.webp,assets/ponchi/final/F-151.png,1254x627,40248,78830,690055,82965
F-152,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-152_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-152_candidate.png,assets/ponchi/final/F-152.webp,assets/ponchi/final/F-152.png,1254x627,40632,69268,684653,69360
F-153,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-153_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-153_candidate.png,assets/ponchi/final/F-153.webp,assets/ponchi/final/F-153.png,1254x627,40332,70556,684579,83970
